#;Тема;Назначена;Модуль;Категория ошибки;Трудозатраты
75219;[int] Зависание системы при удалении маршрутов;BEA;Маршруты;not available;1
75141;[int] PostgreSQL: дублирование параметров ТТП, добавленного в сквозной ТП;MSV;Техпроцессы;postgre;10,85
75131;Ошибки формирования ВТМ;DMY;Маршруты;modification;3,5
75036;Ошибка формирования ведомости маршрутов для КЭ с зависимостью от вышестоящей входимости;DMY;Маршруты;not available;1
74968;Падение системы при закрытии МЛ и при открытие ВЗН.;REI;Учет в производстве;new;20,2
74847;[int] PostgreSQL: Ошибка PostgreSQL [42703] - при удалении ПО с составом;AVS;Складской учет;postgre;1,35
74840;[int] PostgreSQL: Ошибка PostgreSQL [42703] - при удалении акта списания с составом;AVS;Складской учет;postgre;1,2
74787;[int] PostgreSQL: Ошибка PostgreSQL [42703] - при продвижении ВЗН с составом;AVS;Складской учет;postgre;2,25
74785;[int] PostgreSQL: Ошибка PostgreSQL [42883] - при продвижении требования с составом;AVS;Складской учет;postgre;2,4
74784;[int] PostgreSQL: Некорректное формирование периода при расчете ЛК;AVS_SAV_CHIG_SSB_REI_ASA;Снабжение;not available;1,35
74778;[int] PostgreSQL: Ошибка PostgreSQL [23503] - при удалении акта инвентаризации УП с составом;AVS;Учет в производстве;postgre;2,95
74768;[int] PostgreSQL: Ошибка PostgreSQL [42703] - при удалении акта изменения заказа партии;AVS;Учет в производстве;postgre;2,2
74766;[int] PostgreSQL: Ошибка PostgreSQL [23505] - при создании акта сборки с заказом в элементе состава;AVS_SAV_CHIG_SSB_REI_ASA;Учет в производстве;not available;0,7
74765;[int] PostgreSQL: Ошибка PostgreSQL [42703] - при удалении акта сборки с составом;AVS;Учет в производстве;postgre;0,95
74764;[int] PostgreSQL: Ошибка PostgreSQL [42703] - при удалении акта переработки с составом;AVS_SAV_CHIG_SSB_REI_ASA;Учет в производстве;not available;0,25
74763;[int] PostgreSQL: Ошибка PostgreSQL [P0002] - при добавлении состава в КВ;AVS;Складской учет;postgre;2,3
74741;[int] PostgreSQL: Ошибка PostgreSQL [42883] - при продвижении отпуска лимитно-заборной карты;AVS;Учет в производстве;postgre;1,8
74739;При создании ТМЦ пропала возможность ввода поля «Обозначение»;ASA;Складской учет;new;4,5
74721;[int] PostgreSQL: Ошибка PostgreSQL [42703] - при удалении акта инвентаризации с составом;AVS;Складской учет;postgre;1,5
74547;[int]  Не синхронизируется Дерево ТП и вкладка оборудование .ТП;DMY;Техпроцессы;old;4,85
73707;[int] PostgreSQL: Ошибка PostgreSQL [2F005] - при формировании состава маршрутного листа по техпроцессам;AVS;Учет в производстве;postgre;1,3
73129;[int] Не корректная работа фильтра ТП по типам изделий. Сбрасывается выбор;MNS;Техпроцессы;old;10,15
72752;[int] PostgreSQL: Ошибка PostgreSQL [42P03] - при создании оснастки;AVS;Оснастка;postgre;1,95
72613;График загрузки единиц оборудования от ПП;KRA;Планирование заводское;old;18,8
71998;Увеличилось время расчета ресурсов плана с учетом НЗП;SPS;Планирование заводское;modification;38,2
65744;PostgreSQL: Падение при расчете стоимости материалов, из лога ошибки перенаправлены в протокол;BEA;Разное;postgre;4
